Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
;21.- VISADOS DE DIRECCIÓN DE OBRA NUEVA;;;;;;;;;;
;;;;;;;;;;;
;N.º de viviendas y superficie media según destino principal;;;;;;;;;;
;;;;;;;;;;;
;Granada;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Mar;51.0;21.0;0.0;154.90196;86.619047;;;83.0;155.0
;;Feb;81.0;10.0;4.0;158.925925;99.3;;;82.0;177.0
;;Ene;24.0;13.0;0.0;182.25;98.230769;;;70.0;107.0
2009;;Dic;76.0;130.0;0.0;147.171052;73.66923;;;71.0;277.0
;;Nov;78.0;98.0;1.0;157.243589;93.285714;;;92.0;269.0
;;Oct;72.0;228.0;0.0;131.319444;78.14035;;;69.0;369.0
;;Sep;42.0;107.0;0.0;169.45238;91.542056;;;89.0;238.0
;;Ago;3.0;0.0;0.0;240.333333;0.0;;;1.0;4.0
;;Jul;123.0;146.0;0.0;151.195121;93.047945;;;186.0;455.0
;;Jun;37.0;213.0;0.0;181.162162;92.478873;;;168.0;418.0
;;May;69.0;180.0;0.0;157.826086;122.505555;;;91.0;340.0
;;Abr;56.0;126.0;0.0;162.428571;99.166666;;;74.0;256.0
;;Mar;52.0;85.0;0.0;168.76923;101.270588;;;66.0;203.0
;;Feb;58.0;103.0;0.0;155.275862;114.233009;;;77.0;238.0
;;Ene;72.0;308.0;0.0;162.708333;109.88961;;;49.0;429.0
2008;;Dic;82.0;245.0;0.0;136.475609;82.824489;;;52.0;379.0
;;Nov;79.0;179.0;0.0;147.860759;93.675977;;;74.0;332.0
;;Oct;89.0;154.0;0.0;148.651685;95.363636;;;134.0;377.0
;;Sep;89.0;76.0;0.0;169.550561;107.513157;;;116.0;281.0
;;Ago;39.0;79.0;0.0;164.461538;98.860759;;;27.0;145.0
;;Jul;127.0;372.0;0.0;160.881889;90.083333;;;77.0;576.0
;;Jun;173.0;219.0;0.0;159.01156;102.56621;;;81.0;473.0
;;May;135.0;838.0;0.0;163.111111;89.263723;;;76.0;1049.0
;;Abr;250.0;1077.0;0.0;152.968;100.33519;;;76.0;1403.0
;;Mar;246.0;650.0;0.0;143.829268;88.636923;;;60.0;956.0
;;Feb;185.0;914.0;0.0;147.627027;86.852297;;;56.0;1155.0
;;Ene;237.0;293.0;0.0;159.49789;81.197952;;;71.0;601.0
2007;;Dic;146.0;679.0;0.0;159.732876;80.129602;;;74.0;899.0
;;Nov;152.0;819.0;0.0;148.894736;88.533577;;;97.0;1068.0
;;Oct;235.0;1103.0;0.0;151.021276;94.565729;;;90.0;1428.0
;;Sep;279.0;754.0;0.0;153.16129;73.438992;;;64.0;1097.0
;;Ago;81.0;364.0;0.0;163.296296;92.291208;;;22.0;467.0
;;Jul;332.0;1199.0;0.0;143.89759;98.219349;;;79.0;1610.0
;;Jun;419.0;1162.0;0.0;148.422434;85.534423;;;72.0;1653.0
;;May;359.0;990.0;0.0;148.108635;93.357575;;;79.0;1428.0
;;Abr;433.0;1632.0;0.0;141.517321;87.238357;;;101.0;2166.0
;;Mar;415.0;1607.0;0.0;174.816867;96.627878;;;114.0;2136.0
;;Feb;272.0;1006.0;0.0;154.448529;98.386679;;;61.0;1339.0
;;Ene;344.0;1953.0;0.0;137.688953;95.474142;;;55.0;2352.0
2006;;Dic;449.0;1165.0;0.0;131.603563;90.13133;;;58.0;1672.0
;;Nov;531.0;1291.0;0.0;142.280602;83.041828;;;85.0;1907.0
;;Oct;715.0;2137.0;0.0;144.913286;93.196069;;;99.0;2951.0
;;Sep;617.0;2060.0;0.0;137.330632;94.242233;;;126.0;2803.0
;;Ago;212.0;812.0;0.0;127.094339;84.972906;;;47.0;1071.0
;;Jul;565.0;1962.0;0.0;137.831858;94.634046;;;133.0;2660.0
;;Jun;381.0;1623.0;0.0;146.816272;88.483672;;;89.0;2093.0
;;May;786.0;1401.0;0.0;131.474554;90.615988;;;231.0;2418.0
;;Abr;394.0;706.0;0.0;136.860406;88.229461;;;128.0;1228.0
;;Mar;595.0;1786.0;0.0;145.22521;93.984882;;;97.0;2478.0
;;Feb;503.0;1754.0;0.0;137.143141;85.799885;;;138.0;2395.0
;;Ene;398.0;1316.0;0.0;141.180904;105.837386;;;102.0;1816.0
2005;;Dic;460.0;1201.0;0.0;149.736956;81.814321;;;105.0;1766.0
;;Nov;654.0;821.0;5.0;114.218654;86.154689;;;119.0;1599.0
;;Oct;443.0;1464.0;0.0;148.185101;89.827868;;;340.0;2247.0
;;Sep;487.0;1362.0;0.0;145.944558;97.370778;;;210.0;2059.0
;;Ago;243.0;556.0;0.0;150.580246;80.787769;;;89.0;888.0
;;Jul;662.0;1182.0;10.0;135.087613;84.598984;;;79.0;1933.0
;;Jun;506.0;1518.0;16.0;143.721343;94.959815;;;214.0;2254.0
;;May;505.0;990.0;0.0;138.095049;87.785858;;;126.0;1621.0
;;Abr;483.0;1412.0;0.0;156.031055;94.460339;;;114.0;2009.0
;;Mar;390.0;747.0;0.0;144.85641;94.22356;;;77.0;1214.0
;;Feb;480.0;941.0;0.0;150.7;82.20085;;;268.0;1689.0
;;Ene;432.0;747.0;0.0;142.979166;92.274431;;;93.0;1272.0
2004;;Dic;495.0;836.0;0.0;137.10505;89.955741;;;61.0;1392.0
;;Nov;650.0;952.0;0.0;157.74;95.670168;;;131.0;1733.0
;;Oct;421.0;815.0;6.0;148.893111;88.284662;;;70.0;1312.0
;;Sep;546.0;1108.0;0.0;137.807692;96.304151;;;85.0;1739.0
;;Ago;416.0;239.0;0.0;167.730769;116.728033;;;87.0;742.0
;;Jul;449.0;1133.0;0.0;148.151447;90.270962;;;123.0;1705.0
;;Jun;486.0;732.0;0.0;142.839506;97.028688;;;111.0;1329.0
;;May;437.0;654.0;0.0;144.87643;90.666666;;;205.0;1296.0
;;Abr;447.0;871.0;0.0;147.078299;96.731343;;;146.0;1464.0
;;Mar;724.0;1328.0;0.0;147.714088;96.917921;;;181.0;2233.0
;;Feb;411.0;547.0;0.0;133.686131;95.387568;;;91.0;1049.0
;;Ene;465.0;733.0;1.0;140.830107;88.35607;;;136.0;1335.0
2003;;Dic;471.0;652.0;2.0;156.660297;101.829754;;;145.0;1270.0
;;Nov;511.0;660.0;34.0;143.111545;94.284848;;;57.0;1262.0
;;Oct;505.0;1221.0;11.0;135.231683;86.481572;;;287.0;2024.0
;;Sep;543.0;646.0;130.0;137.38674;85.481424;;;139.0;1458.0
;;Ago;258.0;391.0;3.0;135.879844;86.841432;;;44.0;696.0
;;Jul;405.0;1111.0;0.0;138.738271;94.432043;;;232.0;1748.0
;;Jun;487.0;407.0;10.0;143.613963;94.572481;;;129.0;1033.0
;;May;508.0;1213.0;5.0;132.033464;95.036273;;;253.0;1979.0
;;Abr;610.0;589.0;5.0;136.454098;101.144312;;;87.0;1291.0
;;Mar;425.0;965.0;1.0;138.454117;88.778238;;;138.0;1529.0
;;Feb;410.0;641.0;2.0;142.02439;95.859594;;;128.0;1181.0
;;Ene;291.0;499.0;6.0;141.501718;100.777555;;;101.0;897.0
2002;;Dic;501.0;572.0;5.0;128.297405;97.923076;;;97.0;1175.0
;;Nov;353.0;466.0;9.0;141.725212;98.5;;;47.0;875.0
;;Oct;413.0;539.0;46.0;136.721549;100.191094;;;337.0;1335.0
;;Sep;492.0;812.0;9.0;141.534552;102.283251;;;58.0;1371.0
;;Ago;209.0;304.0;46.0;141.956937;99.881578;;;100.0;659.0
;;Jul;591.0;696.0;0.0;122.592216;92.922413;;;115.0;1402.0
;;Jun;339.0;463.0;4.0;144.094395;105.473002;;;151.0;957.0
;;May;434.0;631.0;2.0;142.974654;100.114104;;;52.0;1119.0
;;Abr;426.0;287.0;5.0;139.840375;98.905923;;;180.0;898.0
;;Mar;488.0;674.0;2.0;130.079918;100.197329;;;140.0;1304.0
;;Feb;496.0;344.0;3.0;144.13508;94.372093;;;169.0;1012.0
;;Ene;347.0;251.0;0.0;143.138328;100.76494;;;67.0;665.0
2001;;Dic;299.0;250.0;5.0;135.595317;87.836;;;45.0;599.0
;;Nov;461.0;660.0;1.0;132.568329;79.257575;;;76.0;1198.0
;;Oct;525.0;481.0;4.0;134.565714;95.68607;;;49.0;1059.0
;;Sep;734.0;307.0;1.0;130.760217;89.156351;;;53.0;1095.0
;;Ago;240.0;202.0;0.0;146.679166;91.247524;;;54.0;496.0
;;Jul;795.0;703.0;7.0;128.865408;96.5633;;;70.0;1575.0
;;Jun;542.0;489.0;3.0;135.835793;98.231083;;;70.0;1104.0
;;May;497.0;966.0;9.0;131.665995;99.727743;;;80.0;1552.0
;;Abr;420.0;608.0;7.0;132.359523;92.384868;;;52.0;1087.0
;;Mar;544.0;379.0;3.0;133.053308;91.031662;;;146.0;1072.0
;;Feb;383.0;348.0;1.0;141.715404;108.695402;;;90.0;822.0
;;Ene;405.0;140.0;3.0;137.738271;112.3;;;72.0;620.0
2000;;Dic;379.0;394.0;2.0;126.081794;86.040609;;;52.0;827.0
;;Nov;475.0;812.0;3.0;135.978947;103.466748;;;57.0;1347.0
;;Oct;512.0;318.0;1.0;128.689453;96.210691;;;133.0;964.0
